,,std_ymd,event_date,auth_id,user_pseudo_id,event_name,is_anonymous,learn_lang,learn_lang_cnt,lang_code,app_version,platform,platform_version,device_category,continent,country,event_timestamp,event_timestamp_w_timezone,,week_cd,screen_class,previous_screen_class,errors: 0,use_time_msec,,purchase_type,product,create_date
#REF!,#REF!,2023-09-19,20230919,3tv6xAvjSiOBvn6Pi8LkGw,D85ED01C4C1E41AA91F97DD2A664BEE3,first_open,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1695134431225000 ,1695166831225000 ,0,96,UIViewController,null,2023-09-19 23:40:31.225,null,null,null,null,2023-10-01
#REF!,#REF!,2023-09-19,20230919,3tv6xAvjSiOBvn6Pi8LkGw,D85ED01C4C1E41AA91F97DD2A664BEE3,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1695134431225000 ,1695166831225000 ,0,96,UIViewController,null,2023-09-19 23:40:31.225,1,0.001,null,null,2023-10-01
#REF!,#REF!,2023-09-19,20230919,3tv6xAvjSiOBvn6Pi8LkGw,D85ED01C4C1E41AA91F97DD2A664BEE3,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1695134431577000 ,1695166831577000 ,0,96,UIViewController,null,2023-09-19 23:40:31.577,null,null,null,null,2023-10-01
#REF!,#REF!,2023-09-19,20230919,3tv6xAvjSiOBvn6Pi8LkGw,D85ED01C4C1E41AA91F97DD2A664BEE3,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1695134431681000 ,1695166831681000 ,0,96,UIViewController,UIViewController,2023-09-19 23:40:31.681,null,null,null,null,2023-10-01
#REF!,#REF!,2023-09-19,20230919,3tv6xAvjSiOBvn6Pi8LkGw,D85ED01C4C1E41AA91F97DD2A664BEE3,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1695134433109000 ,1695166833109000 ,0,96,Splash,UIViewController,2023-09-19 23:40:33.109,null,null,null,null,2023-10-01
#REF!,#REF!,2023-09-19,20230919,3tv6xAvjSiOBvn6Pi8LkGw,D85ED01C4C1E41AA91F97DD2A664BEE3,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1695134433109000 ,1695166833109000 ,0,96,UIViewController,null,2023-09-19 23:40:33.109,1156,1.156,null,null,2023-10-01
#REF!,#REF!,2023-09-19,20230919,3tv6xAvjSiOBvn6Pi8LkGw,D85ED01C4C1E41AA91F97DD2A664BEE3,splash_visit,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1695134433110000 ,1695166833110000 ,0,96,Splash,null,2023-09-19 23:40:33.110,null,null,CAKE_COUPON,PLUS,2023-10-01
#REF!,#REF!,2023-09-19,20230919,3tv6xAvjSiOBvn6Pi8LkGw,D85ED01C4C1E41AA91F97DD2A664BEE3,screen_view,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1695134433125000 ,1695166833125000 ,0,96,OnboardingFirst,Splash,2023-09-19 23:40:33.125,null,null,null,null,2023-10-01
#REF!,#REF!,2023-09-19,20230919,3tv6xAvjSiOBvn6Pi8LkGw,D85ED01C4C1E41AA91F97DD2A664BEE3,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1695134433442000 ,1695166833442000 ,0,96,OnboardingFirst,null,2023-09-19 23:40:33.442,332,0.332,null,null,2023-10-01
#REF!,#REF!,2023-09-19,20230919,3tv6xAvjSiOBvn6Pi8LkGw,D85ED01C4C1E41AA91F97DD2A664BEE3,user_engagement,0,ko,1,en,5.5.1,IOS,iOS 16.0.2,mobile,Asia,South Korea,1695134436906000 ,1695166836906000 ,0,96,OnboardingFirst,null,2023-09-19 23:40:36.906,2060,2.06,null,null,2023-10-01
